DATE,NAEXKP01AUQ657S
1960-04-01,2.76734226922069
1960-07-01,0.22565552931265
1960-10-01,-0.199630758146591
1961-01-01,0.300797112347718
1961-04-01,-1.09761583445794
1961-07-01,-0.715606901361469
1961-10-01,1.13917478545033
1962-01-01,2.80680033820507
1962-04-01,1.91508422552172
1962-07-01,0.809856617911976
1962-10-01,1.79538859585174
1963-01-01,2.30856725597852
1963-04-01,-1.30255157363054
1963-07-01,4.10385492573846
1963-10-01,2.14269493314098
1964-01-01,-0.159554294233799
1964-04-01,2.46787440562735
1964-07-01,0.620006391818479
1964-10-01,2.84334900266802
1965-01-01,0.838810100311308
1965-04-01,1.56810859151996
1965-07-01,-0.291893326257129
1965-10-01,0.241940361700823
1966-01-01,-0.288420925601848
1966-04-01,1.37002880449254
1966-07-01,2.82719262637599
1966-10-01,0.654854515477321
1967-01-01,3.90241088937592
1967-04-01,-0.14099674708292
1967-07-01,1.88001689902831
1967-10-01,0.86755349913244
1968-01-01,-0.89038428249957
1968-04-01,3.85005840037551
1968-07-01,1.3212663975782
1968-10-01,3.72848650835641
1969-01-01,-0.693090101713224
1969-04-01,1.9819928696598
1969-07-01,1.6541249432166
1969-10-01,2.30432206106649
1970-01-01,2.07769516375617
1970-04-01,2.01214917625609
1970-07-01,-0.207915374794804
1970-10-01,0.477922362745798
1971-01-01,1.20867627665863
1971-04-01,0.432227454081443
1971-07-01,3.14230752024336
1971-10-01,-0.322700972440305
1972-01-01,-1.21317610199726
1972-04-01,2.23943053977146
1972-07-01,-0.507526733475215
1972-10-01,1.05400817570844
1973-01-01,2.5822541802007
1973-04-01,0.192156666165408
1973-07-01,1.00480304192654
1973-10-01,2.49403528469649
1974-01-01,0.0193314538864445
1974-04-01,-2.0173305200767
1974-07-01,1.20079888878843
1974-10-01,0.0942093722082715
1975-01-01,0.395956055368904
1975-04-01,3.15757996993552
1975-07-01,-1.09525936023692
1975-10-01,-1.51533154313504
1976-01-01,4.42290678034263
1976-04-01,0.308097574501859
1976-07-01,0.810879297237909
1976-10-01,0.872148379479777
1977-01-01,-0.544438571320687
1977-04-01,1.41827817385295
1977-07-01,-0.426720168891362
1977-10-01,-0.312765493545429
1978-01-01,0.705176067757229
1978-04-01,0.820065006066227
1978-07-01,1.51685101135782
1978-10-01,0.829778359907217
1979-01-01,2.73663432440475
1979-04-01,-1.60205696202533
1979-07-01,0.928930366116315
1979-10-01,1.92966982943793
1980-01-01,0.449384886990882
1980-04-01,0.259115949177148
1980-07-01,0.526592943654552
1980-10-01,1.72313969838164
1981-01-01,0.386220728534252
1981-04-01,1.55108873199509
1981-07-01,2.00994337064313
1981-10-01,-0.400062550496524
1982-01-01,-0.810534992346003
1982-04-01,0.904875909327724
1982-07-01,-0.667995686133544
1982-10-01,-1.58317595888742
1983-01-01,-1.00423221699975
1983-04-01,-0.189781514875205
1983-07-01,2.78988253126185
1983-10-01,1.66483440526109
1984-01-01,2.51042503043334
1984-04-01,1.1287765376185
1984-07-01,0.846346033728914
1984-10-01,0.692453005481434
1985-01-01,1.45657643028052
1985-04-01,2.20806227681413
1985-07-01,1.35838133145099
1985-10-01,-0.261012564887384
1986-01-01,0.659519911751077
1986-04-01,-0.176040944092436
1986-07-01,0.279709662538189
1986-10-01,1.65901891363085
1987-01-01,0.957743574468556
1987-04-01,1.56766846904097
1987-07-01,1.81831385605434
1987-10-01,2.01682147618605
1988-01-01,0.433466169740187
1988-04-01,0.0712185875158654
1988-07-01,0.825654691195502
1988-10-01,1.55181106541065
1989-01-01,1.02796460916964
1989-04-01,2.12294895404414
1989-07-01,0.81096140208694
1989-10-01,-0.267810934524509
1990-01-01,0.823223570190638
1990-04-01,0.134418005016956
1990-07-01,-0.59034587381669
1990-10-01,0.57929400425685
1991-01-01,-1.29216118824926
1991-04-01,-0.132475110353799
1991-07-01,0.414660449291415
1991-10-01,0.0690767912065945
1992-01-01,0.747731360881146
1992-04-01,0.71667558551847
1992-07-01,1.01249354467087
1992-10-01,2.05532314438388
1993-01-01,0.69362825379086
1993-04-01,0.563039360134707
1993-07-01,0.106078840838931
1993-10-01,1.8508486818346
1994-01-01,1.67445028669539
1994-04-01,1.24857751183877
1994-07-01,0.762749887830875
1994-10-01,0.968371624417554
1995-01-01,-0.0285096999799503
1995-04-01,0.365830292174077
1995-07-01,2.27177879791514
1995-10-01,0.0659839641602698
1996-01-01,1.67367283990787
1996-04-01,0.701031279734105
1996-07-01,0.800383031371286
1996-10-01,0.90541864052692
1997-01-01,0.621524234029714
1997-04-01,2.9551184655574
1997-07-01,0.124655688923744
1997-10-01,1.41810076507563
1998-01-01,0.679533988579394
1998-04-01,0.980955152964475
1998-07-01,1.92766109933942
1998-10-01,1.54460515505281
1999-01-01,0.774102744546095
1999-04-01,0.33198398709408
1999-07-01,1.16721814250037
1999-10-01,1.69714762940153
2000-01-01,0.378045162830728
2000-04-01,0.91830740232173
2000-07-01,0.192489688052418
2000-10-01,-0.381031815621939
2001-01-01,1.02187952841833
2001-04-01,0.829493413992311
2001-07-01,1.20274129470322
2001-10-01,1.2047607312561
2002-01-01,0.754172125468987
2002-04-01,1.67542047199066
2002-07-01,0.348846162859609
2002-10-01,0.727628185666942
2003-01-01,0.104331582329214
2003-04-01,0.338476096573219
2003-07-01,1.66556749983514
2003-10-01,1.70671821634647
2004-01-01,0.79566799437453
2004-04-01,0.663148436412406
2004-07-01,0.765014269370524
2004-10-01,0.77449017149202
2005-01-01,0.783394876207523
2005-04-01,0.449000651081657
2005-07-01,1.06734255856473
