DATE,LRHUTTTTAUM156S
1996-02-01,8.3268961
1996-03-01,8.4210249
1996-04-01,8.5783685
1996-05-01,8.4142627
1996-06-01,8.2555033
1996-07-01,8.5669991
1996-08-01,8.7193436
1996-09-01,8.5756337
1996-10-01,8.7594964
1996-11-01,8.4702716
1996-12-01,8.6307716
1997-01-01,8.5662228
1997-02-01,8.7027793
1997-03-01,8.5922793
1997-04-01,8.5679972
1997-05-01,8.5474574
1997-06-01,8.3318237
1997-07-01,8.5889232
1997-08-01,8.4651418
1997-09-01,8.0674187
1997-10-01,8.0331014
1997-11-01,7.9864328
1997-12-01,7.91051
1998-01-01,7.8651532
1998-02-01,7.7725136
1998-03-01,7.8834156
1998-04-01,7.6034985
1998-05-01,7.7648648
1998-06-01,7.8328056
1998-07-01,7.9744099
1998-08-01,7.7553947
1998-09-01,7.6334768
1998-10-01,7.3135472
1998-11-01,7.6271891
1998-12-01,7.1836504
1999-01-01,7.1190226
1999-02-01,7.1151611
1999-03-01,7.0127446
1999-04-01,6.9794285
1999-05-01,7.0251489
1999-06-01,6.6537205
1999-07-01,6.6751774
1999-08-01,6.9059246
1999-09-01,7.0413712
1999-10-01,6.7762742
1999-11-01,6.4395411
1999-12-01,6.6845044
2000-01-01,6.7679961
2000-02-01,6.6192613
2000-03-01,6.5652238
2000-04-01,6.3765064
2000-05-01,6.4146454
2000-06-01,6.1153323
2000-07-01,5.9540898
2000-08-01,6.0512958
2000-09-01,5.963152
2000-10-01,6.0096186
2000-11-01,6.261154
2000-12-01,6.2439382
2001-01-01,6.1401829
2001-02-01,6.5019491
2001-03-01,6.4588632
2001-04-01,6.7826965
2001-05-01,6.89336
2001-06-01,6.9330971
2001-07-01,6.8799736
2001-08-01,6.8807868
2001-09-01,6.841341
2001-10-01,7.1933809
2001-11-01,6.883769
2001-12-01,6.8614447
2002-01-01,6.9133495
2002-02-01,6.5365966
2002-03-01,6.4305655
2002-04-01,6.3462279
2002-05-01,6.3729713
2002-06-01,6.4959851
2002-07-01,6.1798102
2002-08-01,6.3485846
2002-09-01,6.3115859
2002-10-01,6.1282824
2002-11-01,6.1617327
2002-12-01,6.1823077
2003-01-01,6.0811599
2003-02-01,5.9552712
2003-03-01,6.1314937
2003-04-01,6.0305914
2003-05-01,6.0695007
2003-06-01,6.0549465
2003-07-01,6.128142
2003-08-01,5.8170375
2003-09-01,5.7747021
2003-10-01,5.7834562
2003-11-01,5.6607593
2003-12-01,5.6815361
2004-01-01,5.5310158
2004-02-01,5.6435564
2004-03-01,5.4379115
2004-04-01,5.5082635
2004-05-01,5.3370979
2004-06-01,5.4635565
2004-07-01,5.5506202
2004-08-01,5.5158301
2004-09-01,5.369712
2004-10-01,5.1228528
2004-11-01,5.161667
2004-12-01,5.0689217
2005-01-01,5.0739195
2005-02-01,5.0851416
2005-03-01,5.1634182
2005-04-01,5.1231234
2005-05-01,5.1001068
2005-06-01,4.9502321
2005-07-01,4.9719528
2005-08-01,4.9000173
2005-09-01,5.001164
2005-10-01,5.015673
